risk_id,risk_title,risk_description,department,risk_category,asset_type,risk_owner,likelihood,impact,asset_criticality,data_sensitivity,vulnerability_count,critical_vulnerability_count,past_incident_count,policy_violation_count,audit_finding_count,third_party_dependency,number_of_controls,control_effectiveness,control_test_pass_rate,days_since_control_test,open_control_deficiencies,regulatory_relevance,treatment_status,treatment_due_days,risk_accepted,days_open,inherent_risk_score,residual_risk_score,adjusted_risk_score,risk_level,action_status
R00001,Cybersecurity risk affecting erp system,Potential cybersecurity event may affect the erp system used by Operations.,Operations,Cybersecurity,ERP System,T. Karunaratne,3,4,5,4,11,0,1,3,2,0,7,0.817,0.905,50,1,GDPR,In Progress,-4,0,104,12,2.19,2.6,Low,Overdue
R00002,Business Continuity risk affecting database,Potential business continuity event may affect the database used by Operations.,Operations,Business Continuity,Database,A. Perera,2,2,3,2,7,0,0,1,1,0,6,0.443,0.308,239,1,NIST CSF,Planned,-14,0,575,4,2.23,5.02,Low,Overdue
R00003,Cybersecurity risk affecting hr platform,Potential cybersecurity event may affect the hr platform used by Information Technology.,Information Technology,Cybersecurity,HR Platform,A. Perera,3,3,4,3,14,1,1,0,2,0,5,0.833,0.86,35,0,None,Risk Accepted,-95,1,615,9,1.51,2.87,Low,Open
R00004,Data Privacy risk affecting network infrastructure,Potential data privacy event may affect the network infrastructure used by Sales.,Sales,Data Privacy,Network Infrastructure,N. Silva,4,3,1,3,10,1,1,1,1,0,5,0.723,0.793,416,1,SOX,Not Started,68,0,85,12,3.32,4.64,Low,Open
R00005,Regulatory Compliance risk affecting cloud service,Potential regulatory compliance event may affect the cloud service used by Customer Support.,Customer Support,Regulatory Compliance,Cloud Service,S. Jayasinghe,1,1,4,4,8,2,1,1,2,1,1,0.809,0.76,466,0,ISO 27001,Planned,83,0,885,1,0.19,2.9,Low,Open
R00006,Access Management risk affecting endpoint fleet,Potential access management event may affect the endpoint fleet used by Operations.,Operations,Access Management,Endpoint Fleet,A. Perera,4,3,1,3,5,1,2,0,1,0,2,0.816,0.858,450,2,SOX,Not Started,153,0,568,12,2.21,3.18,Low,Open
R00007,Third-Party risk affecting cloud service,Potential third-party event may affect the cloud service used by Customer Support.,Customer Support,Third-Party,Cloud Service,A. Perera,2,4,5,1,5,2,3,1,1,1,4,0.823,0.879,307,1,None,Planned,-119,0,887,8,1.42,6.07,Medium,Overdue
R00008,Business Continuity risk affecting network infrastructure,Potential business continuity event may affect the network infrastructure used by Operations.,Operations,Business Continuity,Network Infrastructure,D. Senanayake,2,3,4,3,3,2,0,2,2,1,3,0.836,0.76,429,0,Local Privacy Law,In Progress,-176,0,831,6,0.99,2.79,Low,Overdue
R00009,Data Privacy risk affecting cloud service,Potential data privacy event may affect the cloud service used by Customer Support.,Customer Support,Data Privacy,Cloud Service,K. Fernando,3,5,3,2,3,1,0,0,1,0,2,0.767,0.951,465,2,NIST CSF,Not Started,9,0,563,15,3.5,3.84,Low,Open
R00010,Financial risk affecting web application,Potential financial event may affect the web application used by Information Technology.,Information Technology,Financial,Web Application,T. Karunaratne,2,4,3,3,12,1,0,6,5,1,6,0.846,0.893,379,1,Local Privacy Law,In Progress,-161,0,115,8,1.23,3.19,Low,Overdue
R00011,Access Management risk affecting hr platform,Potential access management event may affect the hr platform used by Information Technology.,Information Technology,Access Management,HR Platform,D. Senanayake,2,5,3,4,3,3,0,1,2,1,3,0.667,0.519,163,2,GDPR,Risk Accepted,-306,1,625,10,3.33,5.02,Low,Open
R00012,Business Continuity risk affecting web application,Potential business continuity event may affect the web application used by Information Technology.,Information Technology,Business Continuity,Web Application,T. Karunaratne,4,1,3,2,11,1,2,3,1,0,6,0.865,0.646,3,0,GDPR,In Progress,58,0,626,4,0.54,2.9,Low,Open
R00013,Third-Party risk affecting network infrastructure,Potential third-party event may affect the network infrastructure used by Human Resources.,Human Resources,Third-Party,Network Infrastructure,T. Karunaratne,1,3,3,2,2,2,3,2,1,1,7,0.651,0.606,355,2,None,Implemented,-311,0,773,3,1.05,4.59,Low,Closed
R00014,Third-Party risk affecting database,Potential third-party event may affect the database used by Information Technology.,Information Technology,Third-Party,Database,S. Jayasinghe,2,2,4,2,8,2,1,1,4,1,6,0.463,0.205,174,2,None,In Progress,-102,0,241,4,2.15,6.59,Medium,Overdue
R00015,Business Continuity risk affecting hr platform,Potential business continuity event may affect the hr platform used by Information Technology.,Information Technology,Business Continuity,HR Platform,R. Gunawardena,2,3,3,5,10,3,0,3,4,0,2,0.67,0.582,373,0,NIST CSF,In Progress,-115,0,865,6,1.98,5.88,Medium,Overdue
R00016,Cybersecurity risk affecting database,Potential cybersecurity event may affect the database used by Operations.,Operations,Cybersecurity,Database,K. Fernando,3,3,3,3,9,1,1,2,1,0,6,0.519,0.526,245,2,None,Planned,8,0,721,9,4.33,4.82,Low,Open
R00017,Data Privacy risk affecting cloud service,Potential data privacy event may affect the cloud service used by Operations.,Operations,Data Privacy,Cloud Service,M. Wijesinghe,3,3,4,3,9,1,0,2,4,0,1,0.938,0.918,334,0,PCI DSS,Implemented,56,0,17,9,0.55,0.86,Low,Closed
R00018,Access Management risk affecting cloud service,Potential access management event may affect the cloud service used by Operations.,Operations,Access Management,Cloud Service,N. Silva,3,2,4,4,14,1,0,1,2,1,7,0.679,0.662,146,3,PCI DSS,Not Started,-83,0,574,6,1.93,3.33,Low,Overdue
R00019,Business Continuity risk affecting vendor service,Potential business continuity event may affect the vendor service used by Information Technology.,Information Technology,Business Continuity,Vendor Service,D. Senanayake,2,3,2,3,5,1,0,1,1,1,5,0.722,0.769,64,2,PCI DSS,Implemented,-267,0,785,6,1.67,3.49,Low,Closed
R00020,Third-Party risk affecting erp system,Potential third-party event may affect the erp system used by Customer Support.,Customer Support,Third-Party,ERP System,K. Fernando,4,4,4,4,3,1,0,1,2,1,4,0.734,0.745,61,2,ISO 27001,In Progress,-153,0,595,16,4.25,5.55,Medium,Overdue
R00021,Operational risk affecting database,Potential operational event may affect the database used by Information Technology.,Information Technology,Operational,Database,D. Senanayake,3,3,3,2,6,1,1,3,1,0,2,0.76,0.718,19,0,None,Planned,52,0,728,9,2.16,4.08,Low,Open
R00022,Third-Party risk affecting payment system,Potential third-party event may affect the payment system used by Legal.,Legal,Third-Party,Payment System,D. Senanayake,3,4,4,4,13,4,1,1,1,1,4,0.76,0.823,495,0,SOX,Risk Accepted,-21,1,26,12,2.89,3.96,Low,Open
R00023,Regulatory Compliance risk affecting vendor service,Potential regulatory compliance event may affect the vendor service used by Operations.,Operations,Regulatory Compliance,Vendor Service,K. Fernando,2,3,3,5,5,1,1,2,0,1,1,0.595,0.54,188,2,SOX,In Progress,46,0,779,6,2.43,4.99,Low,Open
R00024,Access Management risk affecting vendor service,Potential access management event may affect the vendor service used by Customer Support.,Customer Support,Access Management,Vendor Service,M. Wijesinghe,2,5,5,2,2,1,1,3,1,1,4,0.635,0.588,263,2,None,Implemented,-153,0,796,10,3.65,5.74,Medium,Closed
R00025,Operational risk affecting web application,Potential operational event may affect the web application used by Customer Support.,Customer Support,Operational,Web Application,M. Wijesinghe,3,4,1,1,6,1,1,1,1,0,2,0.841,0.925,342,0,GDPR,Risk Accepted,-112,1,672,12,1.9,2.79,Low,Open
